limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,25,25,0,53,53,0,0,0,0,5,5,1.0
5,1,12,33,33,0,66,66,0,0,0,0,5,5,1.0
5,2,27,13,13,0,35,35,0,0,0,0,5,5,1.0
5,3,31,12,12,0,27,27,0,0,0,0,5,5,1.0
10,0,0,79,79,0,130,130,0,0,0,0,5,5,1.0
10,1,25,64,64,0,110,110,0,0,0,0,5,5,1.0
10,2,47,56,56,0,106,106,0,0,0,0,5,5,1.0
10,3,65,62,62,0,111,111,0,0,0,0,5,5,1.0
20,0,0,111,111,0,181,182,1,0,0,1,5,5,0.9444
20,1,36,94,94,0,157,160,3,0,0,3,5,5,0.9412
20,2,67,91,91,0,155,155,0,0,0,0,5,5,1.0
20,3,94,88,89,1,152,157,5,0,0,5,5,5,0.9394
