limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,19,19,0,63,64,1,0,0,3,3,3,0.8462
5,1,13,13,13,0,39,43,4,0,0,4,3,3,0.75
5,2,17,14,14,0,54,58,4,0,0,4,3,3,0.8182
5,3,23,10,10,0,38,38,0,0,0,0,3,3,0.7143
10,0,0,36,36,0,103,103,0,0,0,0,3,3,0.913
10,1,23,39,39,0,130,130,0,0,0,0,3,3,0.92
10,2,44,33,33,0,104,104,0,0,0,0,3,3,0.9048
10,3,60,18,18,0,54,55,1,0,0,1,3,3,0.8182
20,0,0,70,70,0,188,189,1,0,0,0,3,3,0.9444
20,1,36,61,61,0,162,163,1,0,0,1,3,3,0.9375
20,2,64,42,42,0,125,127,2,0,0,2,3,3,0.92
20,3,84,36,36,0,126,127,1,0,0,1,3,3,0.9091
