dimension,group,reviews,strict_successes_rating_ge_3,fsrs_recall_successes_rating_ge_2,predicted_recall,strict_observed_success,strict_observed_wilson95_low,strict_observed_wilson95_high,strict_gap_observed_minus_predicted,strict_brier_score,fsrs_observed_recall,fsrs_observed_wilson95_low,fsrs_observed_wilson95_high,fsrs_calibration_gap_observed_minus_predicted,fsrs_brier_score,median_lateness_days
card_state,1,998,766,803,0.908,0.7675,0.7403,0.7927,-0.1405,0.1757,0.8046,0.7789,0.828,-0.1034,0.1495,1.32
card_state,2,5703,4592,4874,0.8981,0.8052,0.7947,0.8153,-0.0929,0.162,0.8546,0.8453,0.8635,-0.0435,0.1223,2.15
card_state,3,1616,1141,1216,0.8974,0.7061,0.6834,0.7278,-0.1913,0.2231,0.7525,0.7309,0.7729,-0.1449,0.1885,1.22
credit_type_diagnostic,collateral,4986,3843,4103,0.9033,0.7708,0.7589,0.7822,-0.1326,0.1849,0.8229,0.8121,0.8333,-0.0804,0.1435,1.71
credit_type_diagnostic,primary,3331,2656,2790,0.8929,0.7974,0.7834,0.8107,-0.0956,0.1615,0.8376,0.8247,0.8497,-0.0553,0.1308,2.19
first_after_graduation,first_fsrs_after_graduation,642,528,551,0.9325,0.8224,0.791,0.85,-0.1101,0.1438,0.8583,0.8291,0.8831,-0.0742,0.1155,1.08
first_after_graduation,later_or_legacy_fsrs,7675,5971,6342,0.8964,0.778,0.7685,0.7871,-0.1184,0.1782,0.8263,0.8177,0.8346,-0.0701,0.1403,1.96
lateness,0-1d,3104,2687,2808,0.9604,0.8657,0.8532,0.8772,-0.0948,0.1271,0.9046,0.8938,0.9145,-0.0558,0.0918,0.29
lateness,1-3d,1970,1561,1665,0.9038,0.7924,0.7739,0.8097,-0.1114,0.1742,0.8452,0.8285,0.8605,-0.0586,0.1318,1.83
lateness,3-7d,1618,1197,1275,0.8564,0.7398,0.7179,0.7606,-0.1166,0.1974,0.788,0.7674,0.8072,-0.0684,0.1634,4.4
lateness,7-14d,988,658,720,0.8308,0.666,0.636,0.6947,-0.1648,0.2437,0.7287,0.7002,0.7555,-0.1021,0.2003,9.6
lateness,>=14d,637,396,425,0.801,0.6217,0.5834,0.6585,-0.1793,0.2545,0.6672,0.6297,0.7027,-0.1338,0.2266,20.12
month,2026-03,217,173,177,0.9107,0.7972,0.7388,0.8453,-0.1134,0.1675,0.8157,0.7587,0.8616,-0.095,0.1549,0.8
month,2026-04,1715,1354,1424,0.8839,0.7895,0.7696,0.8081,-0.0944,0.1652,0.8303,0.8118,0.8473,-0.0536,0.1355,1.86
month,2026-05,2953,2300,2459,0.9112,0.7789,0.7635,0.7935,-0.1323,0.1841,0.8327,0.8188,0.8457,-0.0785,0.1397,1.23
month,2026-06,1935,1584,1682,0.9055,0.8186,0.8008,0.8351,-0.0869,0.1464,0.8693,0.8535,0.8835,-0.0363,0.1072,1.89
month,2026-07,1497,1088,1151,0.883,0.7268,0.7037,0.7488,-0.1562,0.2092,0.7689,0.7468,0.7895,-0.1142,0.1772,4.89
origin,legacy_or_untracked_origin,1316,798,874,0.8887,0.6064,0.5797,0.6324,-0.2823,0.3029,0.6641,0.6382,0.6891,-0.2246,0.2581,1.82
origin,post_acquisition,7001,5701,6019,0.9011,0.8143,0.805,0.8232,-0.0868,0.1516,0.8597,0.8514,0.8677,-0.0414,0.1159,1.9
overall,all,8317,6499,6893,0.8992,0.7814,0.7724,0.7902,-0.1177,0.1755,0.8288,0.8205,0.8367,-0.0704,0.1384,1.89
policy_epoch_proxy,dr095_pre_recovery_proxy,6003,4763,5071,0.9057,0.7934,0.783,0.8035,-0.1123,0.1693,0.8447,0.8354,0.8537,-0.061,0.1286,1.6
policy_epoch_proxy,pre_dr095_proxy,847,657,680,0.8796,0.7757,0.7464,0.8025,-0.104,0.1733,0.8028,0.7747,0.8282,-0.0768,0.1542,1.66
policy_epoch_proxy,recovery_proxy,1467,1079,1142,0.8835,0.7355,0.7124,0.7574,-0.148,0.2021,0.7785,0.7565,0.799,-0.105,0.1694,4.78
predicted_probability,0.60-0.70,237,108,114,0.6593,0.4557,0.3935,0.5193,-0.2036,0.2895,0.481,0.4182,0.5444,-0.1783,0.281,9.3
predicted_probability,0.70-0.80,667,426,469,0.7584,0.6387,0.6015,0.6742,-0.1197,0.243,0.7031,0.6674,0.7366,-0.0552,0.2101,8.01
predicted_probability,0.80-0.90,2300,1682,1794,0.8618,0.7313,0.7128,0.749,-0.1305,0.2125,0.78,0.7626,0.7965,-0.0818,0.1775,4.3
predicted_probability,<0.60,61,21,24,0.5463,0.3443,0.2375,0.4695,-0.202,0.2686,0.3934,0.2807,0.5188,-0.1528,0.2641,12.92
predicted_probability,>=0.90,5052,4262,4492,0.9503,0.8436,0.8334,0.8534,-0.1067,0.1433,0.8892,0.8802,0.8975,-0.0611,0.103,0.83
stability,7-30d,2284,1800,1914,0.9129,0.7881,0.7709,0.8044,-0.1248,0.1771,0.838,0.8223,0.8525,-0.0749,0.1363,2.78
stability,<7d,5224,4076,4310,0.8886,0.7802,0.7688,0.7913,-0.1083,0.1709,0.825,0.8145,0.8351,-0.0636,0.1373,1.42
stability,>=30d,809,623,669,0.9286,0.7701,0.7399,0.7978,-0.1586,0.2011,0.8269,0.7993,0.8515,-0.1017,0.1517,4.31
