date,word_reviews,sentence_word_reviews,successes,accuracy,acquisition_reviews,graduations
2026-03-27,493,493,453,0.9189,74,22
2026-03-28,537,537,496,0.9236,111,23
2026-03-29,175,175,151,0.8629,52,20
2026-03-30,452,450,408,0.9027,103,28
2026-03-31,236,236,214,0.9068,40,15
2026-04-01,327,322,293,0.896,49,14
2026-04-02,147,147,131,0.8912,22,2
2026-04-03,545,545,489,0.8972,82,24
2026-04-04,198,198,182,0.9192,34,13
2026-04-05,165,164,128,0.7758,58,16
2026-04-06,133,133,98,0.7368,63,18
2026-04-07,158,155,105,0.6646,60,10
2026-04-08,626,619,547,0.8738,144,25
2026-04-09,348,337,308,0.8851,70,11
2026-04-10,365,365,323,0.8849,61,9
2026-04-11,154,154,128,0.8312,18,3
2026-04-12,486,486,434,0.893,64,14
2026-04-13,527,526,445,0.8444,149,30
2026-04-14,144,121,126,0.875,22,2
2026-04-15,597,561,514,0.861,107,13
2026-04-16,48,48,36,0.75,9,1
2026-04-17,81,81,68,0.8395,15,5
2026-04-18,452,452,375,0.8296,112,28
2026-04-19,241,240,210,0.8714,37,7
2026-04-20,622,622,557,0.8955,110,19
2026-04-21,466,465,422,0.9056,56,13
2026-04-22,381,381,352,0.9239,44,13
2026-04-23,417,415,386,0.9257,61,22
2026-04-24,195,195,189,0.9692,35,10
2026-04-25,302,302,287,0.9503,52,8
2026-04-26,95,95,80,0.8421,33,7
2026-04-27,315,315,276,0.8762,97,34
2026-04-28,545,544,494,0.9064,109,28
2026-04-29,289,289,266,0.9204,53,5
2026-04-30,225,225,210,0.9333,27,10
2026-05-01,331,331,307,0.9275,35,8
2026-05-02,542,542,506,0.9336,47,8
2026-05-03,200,200,190,0.95,38,9
2026-05-04,900,900,833,0.9256,94,15
2026-05-05,398,398,382,0.9598,52,13
2026-05-06,718,718,676,0.9415,99,20
2026-05-07,885,885,818,0.9243,82,17
2026-05-08,416,416,355,0.8534,131,15
2026-05-09,458,458,398,0.869,103,23
2026-05-10,672,672,592,0.881,93,16
2026-05-11,381,381,341,0.895,56,17
2026-05-12,476,476,442,0.9286,39,9
2026-05-13,347,347,324,0.9337,28,6
2026-05-14,180,180,167,0.9278,22,1
2026-05-15,680,680,588,0.8647,120,11
2026-05-16,358,358,284,0.7933,74,7
2026-05-17,188,188,158,0.8404,33,2
2026-05-18,827,827,687,0.8307,160,24
2026-05-19,481,481,391,0.8129,95,19
2026-05-20,681,681,590,0.8664,104,18
2026-05-21,372,372,326,0.8763,52,19
2026-05-22,254,254,222,0.874,39,3
2026-05-23,194,194,140,0.7216,24,3
2026-05-24,12,12,9,0.75,1,0
2026-05-25,163,163,139,0.8528,16,1
2026-05-26,889,889,772,0.8684,100,12
2026-05-27,753,753,678,0.9004,123,14
2026-05-28,622,622,572,0.9196,60,15
2026-05-29,402,402,366,0.9104,19,5
2026-05-30,476,476,443,0.9307,47,6
2026-05-31,104,104,92,0.8846,0,0
2026-06-01,1001,1001,891,0.8901,82,13
2026-06-02,463,463,422,0.9114,39,10
2026-06-03,555,555,464,0.836,141,17
2026-06-04,433,432,353,0.8152,150,15
2026-06-05,322,322,280,0.8696,93,12
2026-06-06,556,551,498,0.8957,162,19
2026-06-07,462,458,386,0.8355,119,20
2026-06-08,576,575,506,0.8785,126,23
2026-06-09,171,171,157,0.9181,29,11
2026-06-10,587,587,505,0.8603,98,17
2026-06-11,222,222,194,0.8739,40,6
2026-06-12,48,48,40,0.8333,8,2
2026-06-13,943,942,828,0.878,147,22
2026-06-14,426,426,369,0.8662,95,13
2026-06-15,418,418,379,0.9067,64,12
2026-06-16,224,224,209,0.933,28,8
2026-06-17,444,444,404,0.9099,77,19
2026-06-18,185,185,169,0.9135,29,4
2026-06-19,294,294,265,0.9014,27,10
2026-06-20,522,522,483,0.9253,64,12
2026-06-21,333,333,311,0.9339,42,6
2026-06-22,84,84,75,0.8929,13,1
2026-06-23,76,76,70,0.9211,8,1
2026-06-24,201,201,178,0.8856,52,6
2026-06-25,99,99,93,0.9394,19,2
2026-06-27,66,66,58,0.8788,0,0
2026-06-28,74,74,72,0.973,7,2
2026-06-29,7,7,5,0.7143,0,0
2026-06-30,5,5,5,1.0,0,0
2026-07-05,50,50,20,0.4,1,0
2026-07-08,127,127,105,0.8268,19,5
2026-07-09,344,344,275,0.7994,28,5
2026-07-10,415,415,325,0.7831,73,6
2026-07-11,97,97,88,0.9072,19,1
2026-07-12,24,24,18,0.75,1,0
2026-07-13,434,434,374,0.8618,64,15
2026-07-14,210,210,190,0.9048,27,4
2026-07-15,694,694,579,0.8343,162,28
2026-07-16,132,132,112,0.8485,47,4
2026-07-17,199,199,152,0.7638,71,12
2026-07-18,254,254,186,0.7323,93,8
2026-07-19,113,113,101,0.8938,22,4
2026-07-20,274,274,229,0.8358,70,15
2026-07-21,537,537,398,0.7412,197,25
2026-07-22,380,380,323,0.85,95,14
2026-07-23,109,109,92,0.844,22,7
2026-07-24,117,117,94,0.8034,36,6
2026-07-25,691,676,601,0.8698,134,29
