session_id,complete,planned_cards,answered_sentences,distinct_rating1,distinct_rating2
00e253ab-7574-4ef6-874a-eb469cc62e95,True,14,14,9,2
03597864-5426-4365-95b4-a446ef3bb297,False,28,2,0,0
0614018c-3497-4155-b200-299d6db513dc,False,31,23,25,5
0c0d95cf-7724-4fd6-a30f-44f661eb6d9d,False,18,0,0,0
0e318757-4758-4da1-a76b-4950ab6ca09f,False,22,18,13,2
1bfeca48-8026-44e9-b327-10a1cd7ea5c9,False,15,1,3,1
1d132f3b-4261-4862-be36-f1fb4f8991b1,True,25,21,15,1
21281d6e-67a4-40f3-b97e-a87959fd225c,False,31,12,8,1
212b2808-c483-4f79-ba8d-648869d5e8f0,True,13,11,10,3
22ee20fe-3fb9-484b-94d6-54d31f5bbc1c,False,31,1,0,0
232ad825-cd2f-477c-95d5-a2c2e2bdffe5,False,26,0,0,0
2b3903c1-02a1-4391-a3b0-a82d24cb4f6c,False,17,7,0,1
2b6ecd73-aea4-4508-8815-d2c24a6b107e,False,31,3,2,0
2f5c185c-2986-464a-bf4a-6c9ebc8afbf1,False,31,7,2,1
30c7531e-2542-4878-b9e4-a7c9e74e7b12,False,23,0,0,0
345ebc04-cf59-4e5a-b218-6e2348752465,True,23,21,11,4
363e8896-cd0e-4db2-819d-dff63d8f4f9a,False,31,6,11,2
371a0a25-e00f-443f-89c2-d17acd33dcab,False,15,0,0,0
37780b52-d01a-45aa-b418-fe4a5b351b25,True,31,25,31,3
3b06ae01-62b2-4a0f-b53c-cc6578049717,False,31,8,8,1
3db968dd-4ef4-447c-bc39-4fd59c5d1fdd,True,30,25,37,5
3ec1a86f-c8bd-4f52-a480-55f608249a59,False,26,9,11,1
3f3602ce-1d71-470c-86bf-2b59968dcd01,False,23,11,7,1
42201096-9226-4b22-bc55-8c048e823e25,False,20,3,4,0
4668a1ea-cd82-461c-9ca1-abbb90ee33cb,False,21,9,3,0
4a78a576-6cfe-4e82-930a-a72fd7acee15,False,18,2,0,0
4c18140c-c6ec-431d-88d4-491f6c551810,False,15,0,0,0
4efca47b-d114-4fdb-9f33-68d73deb1815,False,26,0,0,0
50c44604-853e-4cf2-94b5-51ce6d1bbcad,False,31,0,0,0
5292a57e-1c86-464b-8810-729361488f7c,True,28,25,20,1
55f34d26-fa40-496c-a2d3-0e32cd552dc7,True,20,28,7,3
5f05190b-1cba-4c7c-8760-acdedaefde8d,False,29,7,6,0
63dcdbc0-3396-4e8d-b202-5818acb8b981,False,15,0,0,0
68d1c2eb-6583-4b5d-847e-bc6af2dbd91a,False,20,0,0,0
6aafb2ae-66c3-4783-8587-06a3c77b59e2,True,19,15,7,2
6e3f8b52-085b-4087-920a-3ff794947434,True,31,25,25,7
6fe6df1b-8d8f-42df-8b7c-9afa8c3bf6d8,False,31,2,1,1
74e70a67-1979-4546-8bf6-01e1d388e945,False,20,6,2,1
77fac126-e7a4-4789-aaee-e991e8b810ae,False,29,18,16,2
79c75851-7138-45e8-9929-916024f0e778,True,31,25,31,4
7b7a8b03-60d2-4a70-a1a5-88cbe3b0098e,False,13,0,0,0
7cbfbd42-7718-4dd2-8a2e-05be12d0736c,False,22,2,1,0
840c3efe-50bc-44d3-9e79-86a57ca25661,True,18,15,15,4
85550797-02a3-4248-ac7b-3c8f1dcfb491,False,23,19,13,1
8ac9bccf-3b2e-40d5-bcbc-92cede68221a,False,19,19,10,2
8b3a9f52-df62-4718-8ad8-8ddf985acbc3,False,23,2,1,1
8d553ea8-bd42-4e70-bc45-33d3e9dabffc,False,26,0,0,0
939acc0e-6e15-4d9d-abba-8f2be977ffcb,False,20,0,0,0
97e8a194-be30-4b7d-8a65-08d15893acb0,False,25,0,0,0
98ba0ba6-eb74-42d6-84fd-6c208f6bbcd9,True,20,16,11,7
98e11d9c-a6cd-4328-a20d-a17d6760b9e9,False,17,10,6,1
9a0e094f-0049-4010-a928-6dfcc520fcd5,False,31,2,1,0
9a7a3793-30a6-4f3c-a8f8-cfb7757e1163,False,23,5,1,0
9c616be4-69fb-4703-ba0b-6044f8e21dbd,True,17,16,10,1
a1d31f40-eba3-47bf-9457-db23f1f86de2,True,23,21,19,2
a3044553-a551-44ff-946d-4c52b4d5550a,False,21,13,5,3
aac54b7f-bf64-4a89-b7ab-1949b51e288c,False,22,14,2,2
ace9acae-b4b4-43a2-b862-3295657967c7,False,28,0,0,0
