date,word_reviews,sentence_word_reviews,successes,accuracy,acquisition_reviews,graduations
2026-02-08,195,144,156,0.8,0,19
2026-02-09,332,243,237,0.7139,0,27
2026-02-10,283,29,274,0.9682,0,6
2026-02-11,54,23,52,0.963,0,26
2026-02-12,401,192,342,0.8529,88,91
2026-02-13,473,374,437,0.9239,126,51
2026-02-14,565,493,514,0.9097,172,20
2026-02-15,407,364,358,0.8796,147,8
2026-02-16,746,664,669,0.8968,263,38
2026-02-17,374,294,338,0.9037,103,28
2026-02-18,608,566,565,0.9293,205,21
2026-02-19,331,250,308,0.9305,60,6
2026-02-20,824,714,766,0.9296,234,36
2026-02-21,343,258,321,0.9359,82,22
2026-02-22,862,759,764,0.8863,302,14
2026-02-23,1053,957,986,0.9364,286,38
2026-02-24,528,454,503,0.9527,151,11
2026-02-25,169,160,155,0.9172,63,12
2026-02-26,158,145,152,0.962,39,16
2026-02-27,538,499,470,0.8736,221,21
2026-02-28,122,112,105,0.8607,72,3
2026-03-01,197,187,154,0.7817,143,7
2026-03-02,523,486,466,0.891,297,21
2026-03-03,766,637,696,0.9086,292,77
2026-03-04,195,163,180,0.9231,69,17
2026-03-05,515,467,482,0.9359,141,30
2026-03-06,346,306,331,0.9566,79,30
2026-03-07,669,582,642,0.9596,133,38
2026-03-08,153,133,149,0.9739,26,14
2026-03-09,953,818,913,0.958,169,42
2026-03-10,551,468,529,0.9601,91,30
2026-03-11,442,378,418,0.9457,69,22
2026-03-12,447,383,438,0.9799,44,13
2026-03-13,537,435,529,0.9851,56,18
2026-03-14,314,292,251,0.7994,121,25
2026-03-15,426,362,410,0.9624,78,17
2026-03-16,421,353,406,0.9644,58,16
2026-03-17,408,358,393,0.9632,43,6
2026-03-18,570,517,545,0.9561,57,12
2026-03-19,138,138,124,0.8986,8,5
2026-03-20,513,513,470,0.9162,51,20
2026-03-21,772,771,698,0.9041,126,34
2026-03-22,204,202,169,0.8284,58,17
2026-03-23,749,749,685,0.9146,105,27
2026-03-24,439,439,396,0.9021,81,20
2026-03-25,127,127,112,0.8819,20,4
2026-03-26,514,514,461,0.8969,95,31
2026-03-27,493,493,453,0.9189,74,23
2026-03-28,537,537,496,0.9236,111,24
2026-03-29,175,175,151,0.8629,52,20
2026-03-30,452,450,408,0.9027,103,28
2026-03-31,236,236,214,0.9068,40,16
2026-04-01,327,322,293,0.896,49,14
2026-04-02,147,147,131,0.8912,22,2
2026-04-03,545,545,489,0.8972,82,24
2026-04-04,198,198,182,0.9192,34,14
2026-04-05,165,164,128,0.7758,58,17
2026-04-06,133,133,98,0.7368,63,19
2026-04-07,158,155,105,0.6646,60,10
2026-04-08,626,619,547,0.8738,144,25
2026-04-09,348,337,308,0.8851,70,11
2026-04-10,365,365,323,0.8849,61,9
2026-04-11,155,155,129,0.8323,18,3
2026-04-12,486,486,434,0.893,64,15
2026-04-13,527,526,445,0.8444,149,30
2026-04-14,144,121,126,0.875,22,2
2026-04-15,597,561,514,0.861,107,13
2026-04-16,49,49,37,0.7551,9,1
2026-04-17,81,81,68,0.8395,15,5
2026-04-18,452,452,375,0.8296,112,28
2026-04-19,241,240,210,0.8714,37,8
2026-04-20,622,622,557,0.8955,110,19
2026-04-21,466,465,422,0.9056,56,13
2026-04-22,381,381,352,0.9239,44,13
2026-04-23,417,415,386,0.9257,61,22
2026-04-24,195,195,189,0.9692,35,10
2026-04-25,302,302,287,0.9503,52,8
2026-04-26,95,95,80,0.8421,33,7
2026-04-27,315,315,276,0.8762,97,34
2026-04-28,545,544,494,0.9064,109,29
2026-04-29,289,289,266,0.9204,53,5
2026-04-30,225,225,210,0.9333,27,10
2026-05-01,331,331,307,0.9275,35,10
2026-05-02,543,543,507,0.9337,47,9
2026-05-03,200,200,190,0.95,38,9
2026-05-04,900,900,833,0.9256,94,16
2026-05-05,398,398,382,0.9598,52,13
2026-05-06,718,718,676,0.9415,99,21
2026-05-07,886,886,819,0.9244,82,17
2026-05-08,416,416,355,0.8534,131,15
2026-05-09,458,458,398,0.869,103,23
2026-05-10,673,673,593,0.8811,93,17
2026-05-11,381,381,341,0.895,56,18
2026-05-12,264,264,241,0.9129,26,7
