limit,depletion_round,excluded_sentence_count,s0_due,s1_due,due_delta,s0_all_words,s1_all_words,all_words_delta,s0_opening,s1_opening,jaccard
5,0,0,15,8,-7,40,27,-13,2,4,0.25
5,1,8,12,7,-5,42,26,-16,2,4,0.2222
5,2,14,18,8,-10,46,27,-19,2,4,0.2
5,3,20,8,8,0,18,27,9,2,4,0.4
10,0,0,34,32,-2,97,93,-4,2,4,0.6842
10,1,19,21,21,0,48,57,9,2,4,0.7
10,2,26,26,26,0,78,86,8,2,4,0.8125
10,3,38,31,25,-6,81,72,-9,2,4,0.625
20,0,0,67,66,-1,164,170,6,2,4,0.8529
20,1,34,67,68,1,183,192,9,2,4,0.9062
20,2,63,65,65,0,187,191,4,2,4,0.8056
20,3,95,57,58,1,163,170,7,2,4,0.9091
