limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,15,35,20,40,100,60,8,11,9,2,3,0.2105
5,1,19,12,28,16,42,79,37,9,6,12,2,3,0.0526
5,2,29,14,35,21,40,101,61,8,11,9,2,3,0.25
5,3,34,8,29,21,18,83,65,8,11,10,2,3,0.0625
10,0,0,34,51,17,97,141,44,7,6,14,2,3,0.3333
10,1,30,21,39,18,48,101,53,9,9,11,2,3,0.3158
10,2,40,26,47,21,78,136,58,8,9,12,2,3,0.3214
10,3,53,29,44,15,83,121,38,6,8,5,2,3,0.2414
20,0,0,67,81,14,164,194,30,7,2,14,2,3,0.561
20,1,41,66,77,11,181,202,21,13,2,21,2,3,0.4419
20,2,82,56,61,5,164,167,3,4,0,1,2,3,0.6
20,3,118,50,66,16,136,169,33,6,6,6,2,3,0.5556
