limit,depletion_round,excluded_sentence_count,s0_due,candidate_due,due_delta,s0_all_words,candidate_all_words,all_words_delta,base_due_delta,returned_cards_delta,base_all_words_delta,s0_opening,candidate_opening,jaccard
5,0,0,10,13,3,46,38,-8,3,-1,-3,4,3,0.1538
5,1,13,11,12,1,49,37,-12,2,-2,-2,4,3,0.1429
5,2,24,10,13,3,38,42,4,2,1,0,4,3,0.0
5,3,35,9,10,1,45,38,-7,1,-2,3,4,3,0.4
10,0,0,22,24,2,74,79,5,2,2,-2,4,3,0.5556
10,1,18,21,21,0,81,61,-20,1,-3,-6,4,3,0.25
10,2,35,19,21,2,71,80,9,1,2,2,4,3,0.3
10,3,51,16,17,1,63,55,-8,1,-2,0,4,3,0.4286
20,0,0,45,46,1,140,147,7,0,2,-1,4,3,0.7333
20,1,30,41,41,0,131,114,-17,1,-3,-5,4,3,0.5517
20,2,56,36,36,0,123,117,-6,0,-2,2,4,3,0.8333
20,3,76,33,34,1,121,114,-7,1,-2,1,4,3,0.6923
