lemma_id,arabic,gloss,state,source,lexical_source,active,core_rank,stored_camel_rank,repaired_camel_rank,effective_rank,article_surface_rank,hindawi_rank,news_rank,quran_rank,corpus_tokens,momo_excerpt_tokens,momo_frozen_map_tokens,leech_count,lifetime_seen,judgments,failures,primary,collateral,target_cards
2,حائِط,wall,known,duolingo,duolingo,True,1118,16218,16218,1118,10125,1296,2558,,2,0,8,0,24,0,0,0,0,0
5,حَديقة,garden,known,duolingo,duolingo,True,248,3878,3878,248,8184,185,678,874,41,0,11,0,208,0,0,0,0,0
7,جَميلة,pretty,known,duolingo,duolingo,True,1573,2548,2548,1573,2919,180,,,42,0,20,0,113,0,0,0,0,0
8,قَديم,old,known,duolingo,duolingo,True,252,5457,5457,252,2093,282,594,908,30,1,37,0,418,2,1,0,2,0
9,صَالُونٌ,living room,known,duolingo,duolingo,True,1183,6107,6107,1183,18270,1194,8221,,3,0,0,0,18,0,0,0,0,0
10,طاوِلة,table,known,duolingo,duolingo,True,1063,6711,6711,1063,8102,771,3163,,8,0,1,0,75,0,0,0,0,0
12,حَمّام,bathroom,known,duolingo,duolingo,True,1019,3430,3430,1019,3376,851,2327,,6,0,1,0,28,0,0,0,0,0
13,مَطْبَخ,kitchen,known,duolingo,duolingo,True,1025,1174,1174,1025,1410,971,3974,,5,0,0,0,138,0,0,0,0,0
14,غَالِي,expensive,known,duolingo,duolingo,True,627,13585,13585,627,9071,953,4333,1042,7,2,6,0,49,0,0,0,0,0
15,إِيجَار,rent,known,duolingo,duolingo,True,2093,12322,12322,2093,11038,,5458,,0,0,0,0,23,1,0,1,0,1
16,واسِع,spacious,known,duolingo,duolingo,True,408,3616,3616,408,11137,982,866,581,5,0,2,0,60,0,0,0,0,0
18,بُنِّيّ,brown,known,duolingo,duolingo,True,346,789,789,346,17381,579,1653,624,13,0,0,0,95,0,0,0,0,0
19,قُبَّعة,hat,known,book,duolingo,True,1048,35713,35713,1048,51309,727,2120,,9,0,6,2,30,0,0,0,0,0
20,أَبْيَض,white,known,textbook_scan,duolingo,True,151,3200,3200,151,170,210,571,495,36,0,14,2,84,2,0,1,1,2
23,أَزْرَق,blue,known,duolingo,duolingo,True,424,11425,11425,424,970,544,3043,1097,14,1,7,0,88,0,0,0,0,0
24,بَلوزة,blouse,known,duolingo,duolingo,True,,40527,40527,40527,,,,,0,0,0,0,10,0,0,0,0,0
25,مِعْطَف,coat,known,duolingo,duolingo,True,1294,45784,45784,1294,79031,1660,5317,,1,0,1,0,29,1,0,1,0,1
28,تَنّورة,skirt,known,duolingo,duolingo,True,1365,25385,25385,1365,55887,1486,15681,,1,0,0,0,17,1,1,1,0,1
29,وِشاح,scarf,known,duolingo,duolingo,True,1344,43094,43094,1344,69388,1690,8093,,1,0,0,0,17,0,0,0,0,1
30,بَصَل,onions,known,duolingo,duolingo,True,671,37077,37077,671,12413,1271,3863,1130,2,0,0,0,27,2,0,2,0,2
38,قِطّة,cat,known,duolingo,duolingo,True,1094,33514,33514,1094,38871,533,8778,,14,0,0,0,60,0,0,0,0,0
43,جَدّ,grandfather,known,duolingo,duolingo,True,688,7053,7053,688,11354,178,297,,42,0,42,0,108,0,0,0,0,0
45,جَدّة,grandmother,known,duolingo,duolingo,True,507,1621,1621,507,32549,37,4744,,110,0,1,0,22,0,0,0,0,0
47,اِسْم,name,known,duolingo,duolingo,True,56,523,523,56,2597,90,83,236,66,1,22,0,71,0,0,0,0,0
63,مُحاسِب,accountant,known,duolingo,duolingo,True,1228,17055,17055,1228,30992,1642,10235,,1,0,0,0,12,0,0,0,0,0
64,تَعْبان,tired,known,duolingo,duolingo,True,1654,60258,60258,1654,,1280,6865,,2,0,0,0,11,0,0,0,0,0
65,تَوْب,"repentance, returning to God",known,duolingo,duolingo,True,1459,4661,4661,1459,40407,,14535,1151,0,0,0,5,23,1,0,0,1,0
66,طُوبٌ,brick,known,duolingo,duolingo,True,1557,34738,34738,1557,24177,,11619,1263,0,0,0,0,25,1,0,1,0,2
67,طَيِّبٌ,kind,known,duolingo,duolingo,True,182,3566,3566,182,3533,170,1023,200,45,1,19,0,24,1,0,1,0,1
75,أَخ,brother,known,duolingo,duolingo,True,86,9082,9082,86,4214,106,227,105,61,1,12,0,113,0,0,0,0,0
76,أُمّ,mother,known,duolingo,duolingo,True,,157,157,157,1412,,,,189,2,0,0,144,0,0,0,0,0
77,كَلْب,dog,known,duolingo,duolingo,True,251,13536,13536,251,9696,134,1190,763,52,0,8,0,47,0,0,0,0,0
78,أُخْت,sister,known,duolingo,duolingo,True,256,14980,14980,256,12027,277,625,417,29,0,4,0,81,0,0,0,0,0
79,اِبْن,son,known,duolingo,duolingo,True,42,159,159,42,7769,125,59,151,54,0,0,0,28,0,0,0,0,0
85,مُحامي,lawyer,known,duolingo,duolingo,True,946,8721,8721,946,4289,964,910,,5,0,0,0,27,1,0,0,1,0
86,طَويل,long,known,duolingo,duolingo,True,117,2879,2879,117,4403,71,280,1032,80,1,70,0,282,0,0,0,0,0
96,مَشْهورة,famous,known,duolingo,duolingo,True,1002,17653,17653,1002,11239,690,10469,,10,0,2,0,9,0,0,0,0,0
97,مُزْدَحِمة,crowded,known,duolingo,duolingo,True,,51128,51128,51128,42816,,,,0,0,0,0,7,0,0,0,0,0
98,بَحْر,sea,known,textbook_scan,duolingo,True,161,2612,2612,161,892,201,628,229,38,0,25,0,122,0,0,0,0,0
99,مُهِمّ,important,known,duolingo,duolingo,True,318,3197,3197,318,2793,475,573,1327,18,1,9,0,163,0,0,0,0,0
101,سَهْل,easy,known,duolingo,duolingo,True,464,4086,4086,464,6120,633,2042,1236,11,0,8,0,49,1,1,0,1,0
102,بِناية,building,known,duolingo,duolingo,True,2163,20331,20331,2163,38538,,5189,,0,0,0,0,25,0,0,0,0,0
104,لُغة,language,known,duolingo,duolingo,True,807,1167,1167,807,144,784,698,,8,0,1,0,38,0,0,0,0,0
105,سَيّارة,car,known,duolingo,duolingo,True,254,1048,1048,254,1298,868,335,899,8,2,33,0,30,0,0,0,0,0
107,جامِعة,university,known,duolingo,duolingo,True,851,318,318,318,520,1494,364,,1,0,0,0,84,0,0,0,0,0
108,كَبيرة,older,known,duolingo,duolingo,True,243,278,278,243,1340,152,11414,611,51,2,51,0,62,0,0,0,0,0
109,واسِعة,roomy,known,duolingo,duolingo,True,982,1723,1723,982,3217,1096,,847,4,0,4,0,16,0,0,0,0,0
110,مَدينة,city,known,duolingo,duolingo,True,97,140,140,97,299,285,105,426,30,1,40,0,124,0,0,0,0,0
111,مَلِكة,queen,known,duolingo,duolingo,True,955,7529,7529,955,7211,538,1062,,14,0,0,0,7,0,0,0,0,0
114,مُهَنْدِس,engineer,known,duolingo,duolingo,True,1838,4142,4142,1838,1436,,1332,,0,0,0,0,63,0,0,0,0,0
119,غَريب,weird,known,duolingo,duolingo,True,718,3461,3461,718,7349,120,624,,56,0,28,0,30,0,0,0,0,0
120,جَوْعان,hungry,known,duolingo,duolingo,True,1641,116747,116747,1641,,1011,7445,,4,0,1,0,9,0,0,0,0,0
121,مُعَلِّم,teacher,known,duolingo,duolingo,True,516,5382,5382,516,2930,1080,1268,1312,4,0,5,0,309,0,0,0,0,0
130,أُسْتاذ,professor,known,duolingo,duolingo,True,902,3444,3444,902,741,990,701,,4,0,76,0,177,1,0,1,0,1
133,وَلَد,boy,known,duolingo,duolingo,True,101,1502,1502,101,10613,114,395,116,58,0,2,0,361,0,0,0,0,0
134,بِنْت,daughter,known,duolingo,duolingo,True,867,1590,1590,867,10544,467,593,,16,0,2,0,50,0,0,0,0,0
135,رَجُل,man,known,book,duolingo,True,25,881,881,25,725,25,38,205,145,7,50,0,444,0,0,0,0,0
136,اِمْرَأة,a woman,known,duolingo,duolingo,True,863,1668,1668,863,,611,401,,11,0,0,0,16,0,0,0,0,0
137,سِيرَةٌ,biography,known,duolingo,duolingo,True,158,3150,3150,158,1702,150,477,308,53,4,48,1,31,3,1,2,1,3
138,شَاشَةٌ,screen,known,duolingo,duolingo,True,2084,3758,3758,2084,4415,,3918,,0,0,0,5,22,0,0,0,0,0
139,سَادَةٌ,gentlemen,known,auto_intro,duolingo,True,1123,28396,28396,1123,5203,1181,4423,,6,3,100,0,18,1,0,1,0,2
142,شُكْراً,thank you,known,textbook_scan,duolingo,True,314,2678,2678,314,,231,3874,418,35,1,0,0,19,0,0,0,0,0
143,أَهْلاً,hello,known,auto_intro,duolingo,True,1690,1094,1094,1094,,995,,,4,0,0,0,24,2,0,2,0,2
144,تَماماً,absolutely,known,auto_intro,duolingo,True,1425,958,958,958,,156,,,51,3,14,0,64,0,0,0,0,0
145,عَفْواً,excuse me,known,leech_reintro,duolingo,True,1854,16475,16475,1854,,1359,,,2,0,0,1,19,0,0,0,0,0
146,يَا,hey,known,duolingo,duolingo,True,4,205,205,4,11682,2,28,,369,5,63,0,82,0,0,0,0,0
147,بَاعَ,sold,known,duolingo,duolingo,True,451,15333,15333,451,,483,1523,1125,15,0,4,0,46,3,1,3,0,3
148,مَساء,evening,known,duolingo,duolingo,True,789,340,340,340,7294,503,454,,15,0,10,0,28,0,0,0,0,0
149,شَيْء,a thing,known,book,duolingo,True,3,339,339,3,3117,3,42,20,318,16,305,0,72,0,0,0,0,0
150,سُوءٌ,bad,known,duolingo,duolingo,True,265,3156,3156,265,14746,866,875,156,6,0,1,0,20,0,0,0,0,0
151,جَميل,beautiful,known,duolingo,duolingo,True,217,2299,2299,217,1253,179,768,625,42,0,14,0,245,0,0,0,0,0
155,سِي,c,known,duolingo,duolingo,True,1061,1120,1120,1061,19243,867,9094,,6,0,5,1,9,0,0,0,0,0
156,أَوَّلٌ,the first,known,book,duolingo,True,16,146,146,16,65,45,36,59,100,2,53,0,83,0,0,0,0,0
158,أَب,father,known,duolingo,duolingo,True,31,964,964,31,2325,26,179,135,136,1,12,0,160,0,0,0,0,0
159,ذَكِيّ,smart,known,duolingo,duolingo,True,470,13937,13937,470,8978,448,3395,1201,17,0,3,0,62,0,0,0,0,0
160,سَريع,fast,known,duolingo,duolingo,True,293,3912,3912,293,2767,337,965,482,24,0,3,0,127,0,0,0,0,0
161,جُبن,cheese,known,duolingo,duolingo,True,1101,27126,27126,1101,18211,619,4989,,11,0,2,0,13,0,0,0,0,0
162,بِلا,no,known,textbook_scan,duolingo,True,385,1185,1185,385,,207,12158,957,37,0,26,0,39,0,0,0,0,0
164,بَلَد,country,known,duolingo,duolingo,True,113,2175,2175,113,985,372,66,441,21,0,4,0,29,0,0,0,0,0
165,سَعيد,happy,known,duolingo,duolingo,True,194,773,773,194,4891,103,1026,1231,61,0,11,0,49,0,0,0,0,0
166,مُتَرجِم,translator,known,duolingo,duolingo,True,2009,1065,1065,1065,10271,,5927,,0,0,6,0,31,0,0,0,0,0
167,دُكتور,doctor,known,duolingo,duolingo,True,606,803,803,606,178,222,439,,35,0,0,0,7,0,0,0,0,0
168,مُمتِع,entertaining,known,duolingo,duolingo,True,505,16844,16844,505,43894,506,5688,517,15,0,0,0,25,1,0,1,0,1
169,جَيِّد,good,known,duolingo,duolingo,True,316,1827,1827,316,6303,392,588,1165,20,0,14,0,54,0,0,0,0,0
170,سَمَك,fish,known,duolingo,duolingo,True,574,13401,13401,574,8270,591,4230,1234,12,0,24,0,20,0,0,0,0,0
171,عَادِيٌّ,normal,known,textbook_scan,duolingo,True,200,7160,7160,200,6366,118,1891,316,15,1,19,0,56,1,0,1,0,1
172,دَجاج,chicken,known,duolingo,duolingo,True,979,12327,12327,979,6957,324,4707,,25,0,0,0,22,0,0,0,0,0
173,كَريم,generous,known,duolingo,duolingo,True,176,2036,2036,176,229,283,1166,249,29,0,1,0,13,0,0,0,0,1
174,بارِد,cold,known,textbook_scan,duolingo,True,532,12015,12015,532,10511,840,1831,952,8,2,12,0,121,0,0,0,0,0
175,بَيْعٌ,selling,known,duolingo,duolingo,True,308,738,738,308,1932,1135,970,360,3,0,2,0,15,0,0,0,0,0
176,بَابٌ,door,known,duolingo,duolingo,True,50,566,566,50,2051,58,86,215,91,1,41,0,74,0,0,0,0,0
177,كَبير,big,known,duolingo,duolingo,True,53,294,294,53,714,85,78,234,69,1,39,0,298,0,0,0,0,0
178,جَاكِيتٌ,jacket,known,duolingo,duolingo,True,,70509,70509,70509,83091,,,,0,0,0,0,8,0,0,0,0,0
179,جَديد,new,known,duolingo,duolingo,True,59,225,225,59,250,115,68,556,58,1,35,0,522,0,0,0,0,0
180,كَراج,garage,known,duolingo,duolingo,True,2300,24750,24750,2300,,,23737,,0,0,0,0,19,0,0,0,0,0
181,بَيت,house,known,duolingo,duolingo,True,40,384,384,40,685,35,166,126,122,6,19,0,222,0,0,0,0,0
182,تَاجٌ,crown,known,duolingo,duolingo,True,1109,6758,6758,1109,19990,1136,3066,,3,0,0,3,24,0,0,0,0,2
